City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Carnarvon,AU,78.53,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
1,Ushuaia,AR,47.82,broken clouds,-54.8,-68.3,Albatross Hotel
2,Faanui,PF,80.76,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
5,Bluff,NZ,53.8,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
6,Sulangan,PH,80.06,overcast clouds,11.1373,123.7228,Maia's Beach Resort
7,Avera,US,75.07,overcast clouds,33.194,-82.5271,
8,Dubai,AE,73.22,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
9,Kodiak,US,40.51,mist,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
10,Cayenne,GF,78.84,light rain,4.9333,-52.3333,Hôtel Le Dronmi
11,Mogadishu,SO,77.23,scattered clouds,2.0371,45.3438,Hotel Juba
13,Atuona,PF,78.46,clear sky,-9.8,-139.0333,Villa Enata
14,Watsa,CD,68.83,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
15,Kaitangata,NZ,48.92,light rain,-46.2817,169.8464,Kaitangata Motor Camp
16,Port Alfred,ZA,70.56,broken clouds,-33.5906,26.891,The Halyards Hotel
17,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Punta Arenas,CL,50.02,clear sky,-53.15,-70.9167,Hotel Hain
21,Bredasdorp,ZA,63.28,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
22,Albany,US,41.18,moderate rain,42.6001,-73.9662,
23,Hermanus,ZA,63.81,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
24,Broken Hill,AU,59.02,clear sky,-31.95,141.4333,Royal Exchange Hotel
26,Rikitea,PF,77.52,light rain,-23.1203,-134.9692,People ThankYou
27,Mahebourg,MU,80.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
30,Chuy,UY,76.71,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
32,Kavaratti,IN,78.82,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
34,Paraiso,CR,79.16,scattered clouds,9.8383,-83.8656,Hotel Rinconcito Verde
35,Cidreira,BR,76.71,broken clouds,-30.1811,-50.2056,Hotel Castelo
36,Cape Town,ZA,64.89,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
40,Amalapuram,IN,67.84,scattered clouds,16.5833,82.0167,swayamprabha service apartments
41,Hobart,AU,60.12,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
42,Katsuura,JP,41.18,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
43,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
44,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
45,Mahanje,TZ,64.62,light rain,-9.9333,35.3333,
46,Goundi,TD,76.14,broken clouds,9.3627,17.366,
48,Puerto Ayora,EC,84.16,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Tanout,NE,57.07,clear sky,14.9709,8.8879,
51,Puerto Narino,CO,82.35,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
58,Balabac,PH,79.79,few clouds,7.9868,117.0645,Sing and Swing Lodge
59,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
61,Saint George,US,48.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
62,Kaoma,ZM,64.45,light rain,-14.7833,24.8,KAOMA AIRPORT
63,San Juan,AR,89.19,few clouds,-31.5375,-68.5364,Hotel Provincial
64,Cockburn Town,TC,75.36,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
66,Pantai Remis,MY,75.79,broken clouds,4.4557,100.6288,Leisure Homestay
68,Saint-Francois,FR,40.68,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
70,Port Elizabeth,ZA,67.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
71,Laguna,US,64.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
73,Bethel,US,43.16,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
74,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
75,Taoudenni,ML,66.58,broken clouds,22.6783,-3.9836,
77,Skibbereen,IE,46.2,overcast clouds,51.55,-9.2667,The West Cork Hotel
80,Tessalit,ML,62.92,broken clouds,20.1986,1.0114,
81,Castro,BR,68.22,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
83,Mataura,NZ,53.47,light rain,-46.1927,168.8643,Ellie's Villa
84,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
85,Umm Lajj,SA,68.74,clear sky,25.0213,37.2685,Moon light Furnished Units
