City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carnarvon,AU,-24.8667,113.6333,78.53,73,28,10.16,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,47.82,57,75,21.85,broken clouds
2,Faanui,PF,-16.4833,-151.75,80.76,74,69,16.06,light rain
3,Kadom,RU,54.5592,42.4675,17.85,95,100,5.95,overcast clouds
4,Pangnirtung,CA,66.1451,-65.7125,-10.01,99,100,6.38,light snow
5,Bluff,NZ,-46.6,168.3333,53.8,86,100,4.52,light rain
6,Sulangan,PH,11.1373,123.7228,80.06,80,97,11.01,overcast clouds
7,Avera,US,33.194,-82.5271,75.07,59,100,12.21,overcast clouds
8,Dubai,AE,25.2582,55.3047,73.22,52,0,4.61,clear sky
9,Kodiak,US,57.79,-152.4072,40.51,93,100,8.05,mist
10,Cayenne,GF,4.9333,-52.3333,78.84,90,100,2.3,light rain
11,Mogadishu,SO,2.0371,45.3438,77.23,82,33,21.77,scattered clouds
12,Tiksi,RU,71.6872,128.8694,-9.63,100,100,4.43,overcast clouds
13,Atuona,PF,-9.8,-139.0333,78.46,75,6,12.84,clear sky
14,Watsa,CD,3.0372,29.5355,68.83,46,99,2.37,overcast clouds
15,Kaitangata,NZ,-46.2817,169.8464,48.92,96,100,0.85,light rain
16,Port Alfred,ZA,-33.5906,26.891,70.56,80,79,18.23,broken clouds
17,Kapaa,US,22.0752,-159.319,78.78,65,40,5.01,scattered clouds
18,Punta Arenas,CL,-53.15,-70.9167,50.02,53,0,5.75,clear sky
19,Ostrovnoy,RU,68.0531,39.5131,13.41,90,100,4.18,overcast clouds
20,Betsiamites,CA,48.9413,-68.646,8.92,73,100,9.42,overcast clouds
21,Bredasdorp,ZA,-34.5322,20.0403,63.28,73,11,5.7,few clouds
22,Albany,US,42.6001,-73.9662,41.18,93,100,4.63,moderate rain
23,Hermanus,ZA,-34.4187,19.2345,63.81,72,25,9.33,scattered clouds
24,Broken Hill,AU,-31.95,141.4333,59.02,46,0,22.26,clear sky
25,Ilulissat,GL,69.2167,-51.1,17.62,49,100,23.02,overcast clouds
26,Rikitea,PF,-23.1203,-134.9692,77.52,76,100,16.62,light rain
27,Mahebourg,MU,-20.4081,57.7,80.26,90,100,25.81,light rain
28,Linxia,CN,35.6003,103.2064,13.77,87,74,3.27,broken clouds
29,Jamestown,US,42.097,-79.2353,28.09,69,100,8.99,snow
30,Chuy,UY,-33.6971,-53.4616,76.71,84,88,8.5,overcast clouds
31,Okhotsk,RU,59.3833,143.3,3.22,74,81,17.83,broken clouds
32,Kavaratti,IN,10.5669,72.642,78.82,68,6,7.9,clear sky
33,Pevek,RU,69.7008,170.3133,-16.78,91,13,2.68,few clouds
34,Paraiso,CR,9.8383,-83.8656,79.16,65,32,3.49,scattered clouds
35,Cidreira,BR,-30.1811,-50.2056,76.71,85,59,20.94,broken clouds
36,Cape Town,ZA,-33.9258,18.4232,64.89,65,12,5.01,few clouds
37,Khatanga,RU,71.9667,102.5,-33.27,100,35,3.18,scattered clouds
38,Qaanaaq,GL,77.484,-69.3632,-12.82,61,100,7.11,overcast clouds
39,Chokurdakh,RU,70.6333,147.9167,-28.39,100,65,2.1,broken clouds
40,Amalapuram,IN,16.5833,82.0167,67.84,87,37,4.12,scattered clouds
41,Hobart,AU,-42.8794,147.3294,60.12,72,40,9.22,scattered clouds
42,Katsuura,JP,35.1333,140.3,41.18,64,99,9.4,overcast clouds
43,Hilo,US,19.7297,-155.09,78.53,69,40,9.22,scattered clouds
44,Vaini,TO,-21.2,-175.2,86.16,79,40,8.05,scattered clouds
45,Mahanje,TZ,-9.9333,35.3333,64.62,96,100,3.0,light rain
46,Goundi,TD,9.3627,17.366,76.14,12,77,7.14,broken clouds
47,Melfort,CA,52.8667,-104.6177,-3.32,93,100,8.05,overcast clouds
48,Puerto Ayora,EC,-0.7393,-90.3518,84.16,86,18,7.0,few clouds
49,Tanout,NE,14.9709,8.8879,57.07,18,1,16.08,clear sky
50,Pangody,RU,65.85,74.4859,-2.27,99,97,5.44,overcast clouds
51,Puerto Narino,CO,-3.7703,-70.3831,82.35,94,92,1.95,overcast clouds
52,Vanavara,RU,60.34,102.2797,11.48,94,100,8.79,light snow
53,Dikson,RU,73.5069,80.5464,-15.48,98,99,5.14,overcast clouds
54,Nivala,FI,63.9167,24.9667,-1.32,100,94,3.42,overcast clouds
55,Qaqortoq,GL,60.7167,-46.0333,27.1,94,100,4.29,light snow
56,Yellowknife,CA,62.456,-114.3525,-18.71,82,54,8.01,broken clouds
57,Torbay,CA,47.6666,-52.7314,35.58,84,100,7.0,overcast clouds
58,Balabac,PH,7.9868,117.0645,79.79,79,21,11.36,few clouds
59,Port Hedland,AU,-20.3167,118.5667,80.65,74,58,8.05,broken clouds
60,Fort Nelson,CA,58.8053,-122.7002,-8.32,93,100,3.8,light snow
61,Saint George,US,37.1041,-113.5841,48.67,22,0,8.05,clear sky
62,Kaoma,ZM,-14.7833,24.8,64.45,96,100,5.1,light rain
63,San Juan,AR,-31.5375,-68.5364,89.19,25,21,8.03,few clouds
64,Cockburn Town,TC,21.4612,-71.1419,75.36,75,72,23.47,broken clouds
65,Nanortalik,GL,60.1432,-45.2371,28.74,71,100,13.33,light snow
66,Pantai Remis,MY,4.4557,100.6288,75.79,87,54,3.09,broken clouds
67,Sioux Lookout,CA,50.1001,-91.917,0.81,80,5,5.28,clear sky
68,Saint-Francois,FR,46.4154,3.9054,40.68,81,100,9.22,overcast clouds
69,Enid,US,36.3956,-97.8784,16.14,83,100,7.0,snow
